ASN,Name,Adjacencies v4,Routes v4,Adjacencies v6,Routes v6
207145,3 S S.R.L. SOLUTIONS SERVICES SYSTEMS,3,2,0,0
206947,Cosimo Vitale trading as WIFI MULTIMEDIA,3,2,3,1
206701,Power & Telco SRL,3,8,0,0
206459,Texa S.p.A.,3,1,3,1
206267,Seek & Partners Spa,3,3,0,0
204958,KT Solutions S.r.l.s,3,9,1,1
204651,Sorint Lab Spa,3,4,0,0
204158,ASTRA ELETTRONICA S.R.L.,3,5,0,0
204060,Origine Impianti srl,3,5,0,0
202889,ST WI-net Srl,3,1,0,0
202704,Digitalia ICT srl,3,3,0,0
202460,webfi srl,3,5,0,0
202382,HYTEL S.R.L.,3,4,0,0
201947,HWG Sababa srl,3,1,0,0
201565,ETRURIA WI-FI S.R.L.,3,12,3,6
201483,B.L.S. Consulting S.r.l.,3,5,2,2
201352,HAL Service SpA,3,4,0,0
201175,BANGO ITALY S.R.L.,3,4,1,1
200944,Eurobet Italia SRL,3,4,0,0
200424,Alessandro Coratelli trading as CODEMA,3,11,1,3
200100,T&T Tecnologie e Telecomunicazioni Srl,3,6,0,0
200036,Niccolo Pietrobon,3,1,0,0
199649,Syntax S.c.ar.l.,3,1,0,0
199617,ARIANNA 2001 S.P.A.,3,1,0,0
199477,Diesel S.p.A. Unipersonale,3,1,0,0
199348,Fibraweb S.p.A,3,7,2,1
198166,Borsa Italiana S.P.A.,3,3,0,0
198045,Provincia di Pesaro e Urbino,3,3,0,0
196892,TD Group Italia S.r.l.,3,8,0,0
15779,Reply S.p.A.,3,5,0,0
15668,CEDACRI S.P.A.,3,1,0,0
15584,Informatica Alto Adige Spa,3,16,0,0
13253,Intesa Sanpaolo S.p.A.,3,6,1,1
12954,Nexi Payments S.P.A.,3,9,0,0
12481,Trivenet S.R.L.,3,4,0,0
8884,CRIF S.p.A.,2,5,0,0
6836,GEDI News Network S.p.A.,2,4,0,0
6665,Shiny S.r.l.,2,6,0,0
64420,NET WIRELESS S.R.L.,2,2,0,0
61079,Digi Italy S.R.L.,2,6,1,1
61000,Etruriacom Srl,2,12,0,0
60814,Dipartimento della Protezione Civile,2,4,0,0
60087,Netsons s.r.l.,2,5,1,1
59777,EGEA ENTE GESTIONE ENERGIA AMBIENTE SPA,2,1,0,0
59715,Comune di San Benedetto del Tronto,2,4,2,3
57817,Gruppo Torinese Trasporti S.p.A,2,1,0,0
57558,METIS S.R.L.,2,4,1,1
57343,Digimat S.P.A.,2,1,0,0
57300,Comuni Riuniti XL s.r.l.,2,20,0,0
57039,Nord Ovest s.p.a.,2,1,0,0
56941,Enterprise Services Italia S.R.L,2,3,0,0
56559,CoreTech s.r.l.,2,3,0,0
56346,Leitner S.P.A.,2,3,0,0
5535,Food And Agriculture Organization of the United Nations,2,3,0,0
5396,IRIDEOS S.P.A.,2,2,0,0
52054,dataroute srl,2,3,0,0
51940,ITAS MUTUA,2,1,0,0
51853,Sorgenia Spa,2,1,0,0
51502,Unifarm S.p.A. Unione Farmacisti Trentino - Alto Adige,2,1,0,0
51139,CASA ATC SERVIZI SRL,2,2,0,0
50417,W Key srl,2,1,0,0
50394,SYSTEM SRL,2,4,0,0
49976,Area Science Park,2,1,0,0
49772,TF Group S.p.A,2,1,0,0
49733,TEKNE S.R.L.,2,1,0,0
49355,ACCIAI SPECIALI TERNI S.P.A.,2,1,0,0
49215,Burgo Group S.p.A,2,5,0,0
48769,Jacobacci & Partners SpA,2,1,0,0
48751,United Nations Logistics Base,2,3,0,0
48423,Accenture Outsourcing S.R.L,2,1,0,0
48135,Leonardo S.p.A.,2,17,0,0
47597,AX3 Holding S.r.l.,2,1,2,1
47254,Wi-Fi Communication S.r.l.,2,10,2,1
45041,Hi-Net Srl,2,9,0,0
44920,Si.TEK Informatica Srl,2,6,0,0
44767,CABEL INDUSTRY SPA,2,1,0,0
44701,Software Design srl,2,1,0,0
44241,Infranet S.p.A.,2,1,2,1
44084,Multiwire S.r.l.,2,4,1,2
43954,BPER Banca SPA,2,1,0,0
43923,Regione Veneto,2,1,0,0
43731,Barclays Bank PLC,2,2,0,0
43602,ESPRINET-SPA,2,3,0,0
43279,Telespazio S.p.A.,2,7,0,0
42933,Aeroporto G. Marconi di Bologna s.p.a.,2,1,0,0
42833,ATCALL SRL,2,1,0,0
42818,Axitea S.p.A.,2,1,0,0
42658,STEL S.R.L.,2,1,0,0
42650,Pirelli & C. S.p.A.,2,1,0,0
42538,COMUNE DI BRESCIA,2,1,0,0
42345,Granarolo SpA,2,1,0,0
41836,Agos Ducato S.p.A.,2,3,0,0
41734,Comifar Distribuzione S.p.A.,2,4,0,0
41606,Logos Technologies S.r.l.,2,21,0,0
41381,Lucense SCaRL,2,10,0,0
41169,GE AVIO S.R.L.,2,1,0,0
41094,Provincia di Terni,2,1,0,0
41050,OPENCONNEXIO S.R.L.,2,3,2,1
39739,iGuzzini illuminazione s.p.a.,2,1,0,0
39250,HyperGrid s.r.l.,2,1,0,0
39019,DALMINE S.P.A.,2,2,0,0
35519,Banco di Desio e della Brianza SPA,2,1,0,0
35485,TEAMSYSTEM S.P.A.,2,17,0,0
35359,ADR TEL s.p.a.,2,8,0,0
35357,N&TS GROUP NETWORKS & TRANSACTIONAL SYSTEMS GROUP S.P.A.,2,5,0,0
35146,AB NET S.R.L.,2,4,2,2
35130,REGISTER S.P.A.,2,4,1,2
