ASN,Name,Adjacencies v4,Routes v4,Adjacencies v6,Routes v6
207060,E.J.I.E. - EUSKO JAURLARITZAREN INFORMATIKA ELKARTEA - SOCIEDAD INFORMATICA DEL GOBIERNO VASCO S.A.,2,7,0,0
207030,"AVATEL TELECOM, SA",2,4,0,0
206954,NexTReT S.L.,2,3,0,0
206837,Air Wifi S.L.,2,25,0,0
206833,Snell Cuenca Minera S.L,2,14,1,7
206772,RJK Multimedia Shop S. L . U.,2,4,0,0
206757,TECNOCOLOR TT TELECOMUNICACIONS SL,2,22,0,0
206702,Cliko Opera S.L,2,14,1,1
206657,Jose Leon Alvarez,2,21,0,0
206602,"TVT TECNICENTRO, SL UNIP",2,2,1,5
206524,TELCONET SISTEMAS S.L.,2,2,0,0
206451,GPON Linea S.L.,2,11,1,1
206268,Associacio Usuaris Guifibages,2,2,1,1
206089,"TELECOLANZA, S.L.",2,8,0,0
206077,Lecrin Television S.L.,2,13,0,0
206046,Entidad Publica Empresarial ENAIRE,2,3,0,0
206043,IRONTEC INTERNET Y SISTEMAS SOBRE GNU LINUX S.L,2,1,0,0
205575,Veo Telecomunicaciones SL,2,10,0,0
205501,Telus Comunicaciones S.L.,2,3,0,0
205499,Telecable Cartaya S.L.,2,2,0,0
205446,Atlas Montajes e Ingenieria SL Unipersonal,2,2,0,0
205334,"FIBERPLUS COMUNICATIONS, SL",2,12,0,0
205279,"Montel Telecom, S.L.",2,1,0,0
205270,FIBROPTIC CAT TELECOM SL,2,5,0,0
205241,"VUNKERS IT EXPERTS, S.L.U.",2,6,2,1
205179,Virtualdeploy SL,2,1,0,0
205113,OLYMPIC BROADCASTING SERVICES SL,2,1,0,0
205086,IUKANET SERVEIS SL,2,5,0,0
205081,EasyDataHost S.L.,2,3,15,5
204884,Fundacion Universidad de Valladolid,2,2,0,0
204858,"VOIPMINIC, S.L.",2,6,0,0
