Organisation Name,Website,ASN,Peering Policy,IPv4 Address,IPv6 Address,MAC Address,Location,Switch Port and VLAN,Port Type,Service Speed,Service Type,Peering LAN,Membership Type,Route Servers,,
Saudi Telecom Company (STC),http://www.stc.com.sa/,25019,Open,185.0.37.7,2001:7f8:150::61bb:1,d499.6c8e.63f0,STC Ar Rimal RDC102,edge2-str-riy1 ethernet-1/9,100G,100000,Regular,Riyadh IX,full-jedix_customer,rs2.riy1,rs1.riy1,
Datum Datacentres Limited,http://www.teledata.co.uk,43545,Open,195.66.236.195,2001:7f8:4:1::aa19:1,000c.42c7.0ca7,Telehouse North (THN),edge2-thn-lon2 xe35 VLAN: 404,ConneXions,1000,ConneXions,LINX LON2,ConneXions-full,rs2.lon2,rs4.lon2,
Flexoptix GmbH,http://www.flexoptix.net/,199121,Open,195.66.246.13,2001:7f8:4:3:0:3:9d1:1,b496.9129.710c,Pulsant Edinburgh (PUE),edge3-pue-sco1 xe3 VLAN: 2027,ConneXions,100,ConneXions,LINX Scotland,full,rs2.sco1,rs1.sco1,
ParadoxNetworks Limited,https://pdxnet.co.uk,52025,Open,195.66.231.78,2001:7f8:4::6319:2,f452.146e.3717,Equinix LD8 Harbour Exchange (TCH),core4-tch et-2/0/2 VLAN: 48,ConneXions,1000,ConneXions,LINX LON1,full,rs1.lon1,rs3.lon1,
Gigaclear,http://www.gigaclear.com/,56329,Open,195.66.231.148,2001:7f8:4::dc09:2,807f.f860.6fca,Telehouse North (THN),core4-thn et-2/5/0,100G,100000,Regular,LINX LON1,full,rs3.lon1,rs1.lon1,
Flexoptix GmbH,http://www.flexoptix.net/,199121,Open,195.66.244.41,2001:7f8:4:2:0:3:9d1:1,b496.9129.710c,Equinix MA1 Williams House (TCW),edge6-tcw-man1 xe12 VLAN: 1843,ConneXions,1000,ConneXions,LINX Manchester,full,rs2.man1,rs1.man1,
Bharti Airtel Ltd,http://www.bharti.com/,9498,Open,195.66.226.204,2001:7f8:4::251a:2,541e.5630.3fc3,Digital Realty Sovereign House (RBS),edge3-rbs 2/x1/1/c22/1,100G,100000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
Burstfire Networks Ltd.,http://www.burstfire.net.uk/,9153,Selective,195.66.224.71,2001:7f8:4::23c1:1,001e.be8a.a1c0,Digital Realty Sovereign House (RBS),edge3-rbs 1/x1/1/c5/4,10G,10000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
Lightspeed Broadband,http://,210892,,195.66.225.158,2001:7f8:4::3:37cc:1,4055.82d9.b0ef,Equinix LD8 Harbour Exchange (TCH),core4-tch xe-4/0/0,10G,10000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
Selectel Ltd,http://www.selectel.com,49505,Open,195.66.227.21,2001:7f8:4::c161:1,3c94.d521.c852,Equinix LD8 Harbour Exchange (TCH),core4-tch ae211 VLAN: 708,ConneXions,6000,ConneXions,LINX LON1,full,rs1.lon1,rs3.lon1,
Fibrus Networks Ltd,http://,202282,Open,195.66.226.179,2001:7f8:4::3:162a:2,f4bf.a873.8940,Telehouse North2 (TH2),edge2-th2 1/x1/1/c12/1,100G,100000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
Excell Business Systems,http://www.excellgroup.com/,8530,Selective,195.66.225.186,2001:7f8:4::2152:1,e4f2.7cbb.5eea,Telehouse East (THE),edge1-the 2/x1/1/c9/2,10G,10000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
Witine Ltd,http://www.witine.com,58007,Open,195.66.236.25,2001:7f8:4:1::e297:1,90e2.baa9.94f0,Telehouse North (THN),edge2-thn-lon2 xe28 VLAN: 11,ConneXions,1000,ConneXions,LINX LON2,full,rs2.lon2,rs4.lon2,
Epsilon Telecommunications Ltd.,http://www.epsilontel.com,44356,Selective,195.66.227.86,2001:7f8:4::ad44:1,00d0.f681.c4db,Telehouse North (THN),core3-thn et-2/2/3 VLAN: 446,ConneXions,10000,ConneXions,LINX LON1,ConneXions-full,rs1.lon1,rs3.lon1,
Pragma Distribution,http://wearepragma.co.uk,204193,,195.66.225.208,2001:7f8:4::3:1da1:1,0881.f48b.b253,Telehouse North2 (TH2),edge2-th2 1/x1/1/c3/4,10G,10000,Regular,LINX LON1,full,rs3.lon1,rs1.lon1,
Macarne Limited,http://,64289,Open,195.66.231.118,2001:7f8:4::fb21:1,2cdd.e94d.bb71,Telehouse North2 (TH2),edge2-th2 2/x1/1/c10/1,100G,100000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
Vitrifi Limited,http://,211393,No-peering,195.66.236.6,2001:7f8:4:1::3:39c1:1,68f3.8e75.c8a2,Equinix LD4 (EQ4),edge1-eq4-lon2 xe4,10G,10000,Regular,LINX LON2,full,rs2.lon2,rs4.lon2,
Upp Corporation,http://,211307,Open,195.66.224.96,2001:7f8:4::3:396b:1,20f4.4f99.2cbd,Telehouse West (THW),core3-thw et-3/1/2,100G,100000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
Indigo Integrated Solutions Limited,http://,44205,Open,195.66.231.178,2001:7f8:4::acad:1,541e.56f3.2401,Digital Realty Sovereign House (RBS),edge3-rbs 1/x1/1/c7/1,10G,10000,Regular,LINX LON1,full,,,
Canadian Internet Registration Authority,http://www.cira.ca/,55195,Open,195.66.226.79,2001:7f8:4::d79b:1,cc36.cf2b.1952,Equinix LD8 Harbour Exchange (TCH),core4-tch xe-3/0/22,10G,10000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
ICUK Computing Services Ltd,http://icuk.net,51561,Open,195.66.226.191,2001:7f8:4::c969:1,7070.8b3a.1b80,Equinix LD8 Harbour Exchange (TCH),core3-tch xe-4/0/15,10G,10000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
RM Education,http://www.rm.com/,5503,Open,195.66.224.101,2001:7f8:4::157f:1,24fc.4e50.4853,Telehouse North (THN),core3-thn et-3/4/0,100G,100000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
Nuco Technologies Ltd,http://www.host-it.co.uk,45014,Open,195.66.237.55,2001:7f8:4:1::afd6:1,2899.3aa6.9347,Equinix LD4 (EQ4),edge1-eq4-lon2 xe26,10G,10000,Regular,LINX LON2,full,rs4.lon2,rs2.lon2,
Acora Ltd,http://www.veber.co.uk,29006,Open,195.66.236.95,2001:7f8:4:1::714e:1,ec38.73e9.1410,Telehouse North2 (TH2),edge1-th2-lon2 xe15,10G,10000,Regular,LINX LON2,full,rs2.lon2,,
Manx Telecom Ltd.,http://www.manx-telecom.com,13122,Open,195.66.244.132,2001:7f8:4:2::3342:1,0896.ad7c.dbd1,Equinix MA5 (MA5),edge1-ma5-man1 xe3,10G,10000,Regular,LINX Manchester,full,rs1.man1,rs2.man1,
Ekco Cloud Edinburgh Ltd,https://cloudhelix.io/,62227,Open,195.66.227.98,2001:7f8:4::f313:1,9c71.3a5e.208d,Telehouse West (THW),core3-thw xe-4/1/15,10G,10000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
Itility Limited,http://www.itility.co.uk,5587,Open,195.66.244.63,2001:7f8:4:2::15d3:1,100e.7eae.3cb8,Equinix MA1 Williams House (TCW),edge6-tcw-man1 xe11,10G,10000,Regular,LINX Manchester,full,rs2.man1,rs1.man1,
Utility Warehouse Ltd,http://www.uw.co.uk,51553,Open,195.66.225.240,2001:7f8:4::c961:2,00fe.c886.db39,Telehouse North (THN),core3-thn ae214 VLAN: 101,ConneXions,1000,ConneXions,LINX LON1,full,rs1.lon1,rs3.lon1,
Netwise Hosting Ltd,http://www.netwisehosting.co.uk,60800,Open,195.66.239.84,2001:7f8:4:1::ed80:1,70e4.225f.64d8,Telehouse North (THN),edge2-thn-lon2 xe3 VLAN: 500,ConneXions,5000,ConneXions,LINX LON2,ConneXions-full,rs2.lon2,rs4.lon2,
Xoom Limited,http://www.xoomtalk.co.uk,35071,Selective,195.66.238.216,2001:7f8:4:1::88ff:1,a46c.2aa5.8ec0,Telehouse West (THW),edge2-thw-lon2 xe32,10G,10000,Regular,LINX LON2,full,rs2.lon2,rs4.lon2,
Catchpoint Systems Inc.,http://httphttps://www.catchpoint.com/,397601,Open,195.66.236.5,2001:7f8:4:1::6:1121:1,0050.56a2.e6f0,Telehouse East (THE),edge2-the-lon2 xe20 VLAN: 2481,ConneXions,100,ConneXions,LINX LON2,full,,,
