ProviderID,network_name,addresses,route_server_asns
12,Icolo Mombasa peering vlan,"196.60.68.0/24, 2001:43F8:C0:1::/64",[]
192,KleyReX Peering LAN,"193.189.82.0/23, 193.189.82.0/23, 2001:7f8:33::/64, 2001:7f8:33::/64",[]
1315,,,[]
1316,ISP,"194.190.119.0/24, 2001:7f8:20:801::/64",[]
1313,Standard Peering Kuala Lumpur,"103.119.234.0/24, 2403:4ac0:1::/64",[]
1314,MTU 1500,"149.112.26.0/24, 2a0f:607:1070::/64",[]
1312,Main,"195.66.236.0/22, 2001:7f8:4:1::/64",[]
40,LasVegas,"2001:504:68::/64, 206.71.8.0/24",[]
286,Main,"195.66.224.0/21, 2001:7f8:4::/64",[]
286,Multicast,195.66.230.0/26,[]
4,Main,"195.66.244.0/24, 2001:7f8:4:2::/64",[]
273,Main,"2001:504:31::/64, 206.55.196.0/23",[]
407,Main,"195.66.246.0/24, 2001:7f8:4:3::/64",[]
588,Main,"195.66.254.0/24, 2001:7f8:4:4::/64",[]
672,Peering LAN1,"196.60.122.0/24, 2001:43f8:1720::/48",[]
404,Standard Peering Service Lisbon,"185.1.131.0/24, 2001:7f8:d5::/64",[]
620,LocIX Internet Exchange,"185.1.166.0/23, 185.1.166.0/23, 185.1.166.0/23, 2001:7f8:f2:e1::/64, 2001:7f8:f2:e1::/64, 2001:7f8:f2:e1::/64",[]
915,Locix NL,"185.1.138.0/24, 2a0c:b641:700::/64",[]
279,LONAP Peering LAN #1,"2001:7f8:17::/64, 5.57.80.0/22",[]
206,Standard Peering Service Madrid,"185.1.192.0/23, 2001:7f8:a0::/64",[]
1305,Peering VLAN,"185.1.32.0/24, 2001:7f8:8f::/64",[]
1306,LU-CIX Peering,"188.93.170.0/23, 2001:7f8:4c::/64",[]
984,,,[]
209,Standard Peering Service Malaysia,"103.119.232.0/23, 2403:4ac0::/64",[]
11,,,[]
697,Peering LAN,206.71.142.0/24,[]
1178,Peering LAN,"185.1.114.0/24, 2001:7f8:c5::/64",[]
1270,MIX Palermo,"185.1.186.0/24, 2001:7f8:101:7::/64",[]
857,MIX Bologna,"185.1.231.0/24, 2001:7f8:101:13::/64",[]
921,MIX Roma,"185.188.83.0/24, 2001:7f8:101:14::/64",[]
852,MIX-IT,"2001:7f8:b:100::/64, 217.29.66.0/23",[]
127,,"185.1.44.0/24, 2001:7f8:22::/48",[]
149,Standard Peering Service Marseille,"185.1.47.0/24, 2001:7f8:36::/64",[]
582,ISP,"193.232.87.0/24, 2001:7f8:20:401::/64",[]
582,ISP,"194.85.107.0/24, 2001:7f8:20:301::/64",[]
582,ISP,"195.208.208.0/21, 2001:7f8:20:101::/64",[]
582,ISP,"193.232.136.0/24, 2001:7f8:20:701::/64",[]
582,ISP,"194.190.119.0/24, 2001:7f8:20:801::/64",[]
582,ISP,"194.226.100.0/23, 2001:7f8:20:201::/64",[]
582,ISP,"194.226.102.0/23, 2001:7f8:20:202::/64",[]
582,ISP,"193.232.140.0/24, 2001:7f8:20:501::/64",[]
585,Nashville,"149.112.15.0/24, 2001:504:107::/64",[]
1372,Standard Peering Service Munich,"185.1.208.0/23, 2001:7f8:44::/64",[]
1275,Namex Bari Public Peering,"185.1.218.0/24, 2001:7f8:11b::/64",[]
947,Namex Roma Public Peering,"193.201.28.0/23, 2001:7f8:10::/64",[]
1390,VLAN100-PEERING-IPv4,45.68.88.0/24,[]
1390,VLAN101-PEERING-IPv6,2801:18d::/64,[]
1294,NAPEC-UIO PRODUCCION,"200.1.6.0/25, 2001:13C7:6006:0000::/64",[]
1183,NAPEC-GYE PRODUCCION,"200.110.120.0/25, 2001:13C7:6F80:0000::/64",[]
1234,NAPAfrica DB1 Peering,"196.10.141.0/24, 196.10.141.0/24, 2001:43f8:6d2::/64, 2001:43f8:6d2::/64",[]
205,NAPAfrica JB1 Peering,"196.60.8.0/22, 196.60.8.0/22, 2001:43f8:6d0::/64, 2001:43f8:6d0::/64",[]
28,,,[]
496,NCL-IX,"185.1.195.0/24, 2001:7f8:34::/64",[]
496,NCL-IX Quarantine,"185.1.195.0/24, 2001:7f8:34::/64",[]
684,ISP,"185.1.226.0/0, 2001:67c:29f0::/0",[]
7,IX-CPH-BLUE-9000,"2001:7f8:d:202::/64/64, 212.237.192.0/24/24",[]
7,IX-CPH-GREEN-9000,"2001:7f8:d:203::/64/64, 212.237.193.0/24/24",[]
7,IX-STH-BLUE-1500,"194.68.128.0/24/24, 2001:7f8:d:fe::/64/64",[]
7,IX-STH-BLUE-4470,"195.69.119.0/24/24, 2001:7f8:d:fb::/64/64",[]
7,IX-STH-GREEN-1500,"194.68.123.0/24/24, 2001:7f8:d:ff::/64/64",[]
7,IX-STH-GREEN-4470,"195.245.240.0/24/24, 2001:7f8:d:fc::/64/64",[]
1368,IX-GBG-BLUE-1500,"194.68.130.0/24/24, 2001:7f8:d:100::/64/64",[]
1368,IX-GBG-BLUE-4470,"195.69.116.0/24/24, 2001:7f8:d:101::/64/64",[]
1366,IX-STH-BLUE-1500,"194.68.128.0/24/24, 2001:7f8:d:fe::/64/64",[]
1366,IX-STH-BLUE-4470,"195.69.119.0/24/24, 2001:7f8:d:fb::/64/64",[]
1366,IX-STH-GREEN-1500,"194.68.123.0/24/24, 2001:7f8:d:ff::/64/64",[]
1366,IX-STH-GREEN-4470,"195.245.240.0/24/24, 2001:7f8:d:fc::/64/64",[]
1366,NETNOD-HELSINKI-IX-BLUE-9K,"185.1.230.0/25/25, 2001:7f8:122::/49/49",[]
1366,NETNOD-HELSINKI-IX-GREEN-9K,"185.1.230.128/25/25, 2001:7f8:122:8000::/49/49",[]
1367,IX-LUL-BLUE-9000,"194.68.131.64/26/26, 2001:7f8:d:400::/64/64",[]
457,IX-CPH-BLUE-9000,"2001:7f8:d:202::/64/64, 212.237.192.0/24/24",[]
457,IX-CPH-GREEN-9000,"2001:7f8:d:203::/64/64, 212.237.193.0/24/24",[]
457,IX-GBG-BLUE-1500,"194.68.130.0/24/24, 2001:7f8:d:100::/64/64",[]
457,IX-GBG-BLUE-4470,"195.69.116.0/24/24, 2001:7f8:d:101::/64/64",[]
457,IX-STH-BLUE-1500,"194.68.128.0/24/24, 2001:7f8:d:fe::/64/64",[]
457,IX-STH-BLUE-4470,"195.69.119.0/24/24, 2001:7f8:d:fb::/64/64",[]
457,IX-STH-GREEN-1500,"194.68.123.0/24/24, 2001:7f8:d:ff::/64/64",[]
457,IX-STH-GREEN-4470,"195.245.240.0/24/24, 2001:7f8:d:fc::/64/64",[]
457,IX-SVL-BLUE-1500,"194.68.133.0/24/24, 2001:7f8:d:300::/64/64",[]
457,IX-SVL-BLUE-4470,"194.68.135.0/24/24, 2001:7f8:d:301::/64/64",[]
