"ProviderID","name","addresses","router_server_asns"
"27","NL-ix","193.239.116.0/22, 2001:7f8:13::/64",
"769","NL-ix 2","185.1.122.0/24, 2001:7f8:cd::/64",
"930","Norfolk","149.112.14.0/24, 2001:504:106::/64",
"982","nnenix:multi-lateral","2001:504:76:1020::/64, 206.71.140.0/24",
"86","ISP","193.232.140.0/24, 2001:7f8:20:501::/64",
"86","ISP","193.232.87.0/24, 2001:7f8:20:401::/64",
"86","ISP","195.208.208.0/21, 2001:7f8:20:101::/64",
"86","ISP","194.226.100.0/23, 2001:7f8:20:201::/64",
"86","ISP","194.226.102.0/23, 2001:7f8:20:202::/64",
"86","ISP","194.85.107.0/24, 2001:7f8:20:301::/64",
"394","","",
"222","NWAX-A","198.32.195.0/24, 2620:124:2000::/64",
"425","Standard Peering Service New York","2001:504:36::/64, 206.82.104.0/22",
"811","OGIX-IXP","2001:504:96::/64, 206.82.110.0/23",
"850","Ohio IX Public Peering LAN","2001:504:64:100::/64, 2001:504:64:100::/64, 206.53.204.0/24, 206.53.204.0/24",
"850","Ohio IX Services","134.195.207.0/24, 2602:fd28::/36",
"1180","Core","149.112.50.0/24, 2001:504:125:e1::/64",
"902","Standard Peering Service Chicago","149.112.11.0/24, 2001:504:102::/64",
"726","","",
"410","Peering.cz VLAN","185.0.20.0/0, 2001:7f8:7f::/0",
"268","Phoenix","2001:504:3b::/64, 206.41.105.0/24",
"941","Peering LAN","2801:11:a800::/64, 45.68.0.0/24",
"761","fra","31.44.186.0/23",
"761","hls","193.27.37.0/24",
"761","msk","185.0.12.0/22",
"761","rix","193.27.39.0/24",
"761","rnd","193.27.38.0/24",
"761","spb","185.1.152.0/23",
"761","tll","37.9.49.0/24",
"729","Peering LAN #1 - 1500","2001:504:77::/64, 206.71.141.0/24",
"636","PEERING","100.128.0.0/24, 2001:db8::/64",
"558","Standard Peering Service Palermo","185.1.46.0/24, 2001:7f8:32::/64",
"847","","",
"853","QCIX Main","206.83.43.0/24",
"266","Public Peering","198.179.18.0/24, 2001:504:2d::18:0/111",
"392","","",
"924","Raleigh","2001:504:67::/64, 206.71.9.0/24",
"1000","Peering","185.1.232.0/24, 2001:7f8:123::/64",
"483","PEERING","2001:7f8:66::/64, 91.232.229.0/24",
"483","QUARANTINE","2001:7f8:66::/64, 91.232.229.0/24",
"972","Standard Peering Service Richmond","2001:504:44::/64, 206.53.137.0/24",
"925","Richmond","2001:504:79::/64, 206.80.232.0/24",
"33","RIX","195.130.211.0/26, 2001:7f8:48::/64",
"686","ISP","194.226.100.0/23, 2001:7f8:20:201::/64",
"686","ISP","194.226.102.0/23, 2001:7f8:20:202::/64",
"686","ISP","193.232.244.0/24, 2001:7f8:20:1101::/64",
"686","ISP","195.208.208.0/21, 2001:7f8:20:101::/64",
"178","ISP","195.208.208.0/21, 2001:7f8:20:101::/64",
"178","ISP","193.232.140.0/24, 2001:7f8:20:501::/64",
"846","","",
"16","","217.156.113.0/24",
"870","vLan101","185.1.179.0/24, 185.1.179.0/24, 2001:7f8:fc:3f::/64, 2001:7f8:fc:3f::/64",
"391","","",
"926","Sacramento","2001:504:70::/64, 206.71.13.0/24",
"553","","185.1.43.0/24, 2001:7f8:11::/64",
"770","","",
"1241","STIX Peering","2801:1f5::/64, 45.68.40.0/24",
"1179","Production","185.1.148.0/24, 2001:7f8:140::/64",
"1055","SBH-IX public peering LAN","149.112.32.0/24, 2001:504:118::/64",
"32","","194.68.129.0/24",
"223","SFMIX-PEERING","2001:504:30::/64, 206.197.187.0/24",
"371","Production","103.16.102.0/23, 2001:de8:12:0100::/64",
"167","","192.108.145.0/24",
"25","","2001:7f8:46::/48, 91.220.194.254/24",
"89","SIX","192.108.148.0/24, 192.108.148.0/24, 2001:7F8:2F::/64, 2001:7F8:2F::/64",
"679","MTU 9000 & multicast","2001:504:16:1::/64, 206.81.82.0/23",
"148","MTU 1500","2001:504:16::/64, 206.81.80.0/23",
"877","VLAN1","2a0e:b107:316::/64",
"88","ISP","193.232.135.0/24, 2001:7f8:20:601::/64",
"1001","SONIX Gothenburg","185.1.233.0/24, 2001:7f8:117:1::/64",
"1247","SONIX Malmo","193.201.148.128/26, 2001:7f8:117:2::/64",
"963","SONIX Stockholm","185.1.215.0/24, 2001:7f8:117::/64",
"87","ISP","193.232.140.0/24, 2001:7f8:20:501::/64",
"87","ISP","194.226.100.0/23, 2001:7f8:20:201::/64",
"87","ISP","194.226.102.0/23, 2001:7f8:20:202::/64",
"87","ISP","194.85.107.0/24, 2001:7f8:20:301::/64",
"87","ISP","195.208.208.0/21, 2001:7f8:20:101::/64",
"87","ISP","193.232.87.0/24, 2001:7f8:20:401::/64",
"898","SpeedIX","185.12.14.0/24, 2A00:1CA8:FF::/64",
"758","SR-IX","185.54.252.0/24, 2A00:7160:5::/64",
"713","CPH-PEERING","185.1.88.0/24, 2001:7f8:b0::/64",
"712","GBG-PEERING","185.1.82.0/24, 2001:7f8:ad::/64",
"144","STH-PEERING","192.121.80.0/24, 192.121.80.0/24, 2001:7f8:3e::/64, 2001:7f8:3e::/64",
"820","SDL-PEERING","185.1.142.0/24, 2001:7f8:dd::/64",
"844","UME-PEERING","185.1.157.0/24, 2001:7f8:e9::/64",
"884","Public","2001:504:98::0/64, 206.83.12.0/24",
"1225","Production Ready VLAN","103.158.187.0/24, 2a0f:5707:ffe3::/64",
"384","ISP","194.85.177.0/25, 2001:7f8:20:901::/64",
"34","Peering VLAN","2001:7f8:24::/64, 91.206.52.0/23",
"813","default","185.1.79.0/24, 2001:7f8:aa::/64",
"1257","","",
"424","Peering LAN","2001:504:60::/64, 2001:504:60::/64, 206.53.201.0/24, 206.53.201.0/24",
"1145","SCAX-IX","149.112.103.0/24, 2001:504:13D::/64",
"889","Vlan#1","185.1.29.0/24, 185.1.29.0/24, 2001:7f8:8a::/64, 2001:7f8:8a::/64",
"346","Internet - PWR Thinx (Openpeering.PL)","2001:7f8:60::/48, 212.91.0.0/22",
"50","","196.223.5.0/24, 2001:43f8::/64",
"14","Peering LAN","194.116.96.0/24, 2001:7f8:23:ffff::/64",
"163","Public Peering","2001:504:1A::34:0/111, 206.108.34.0/23",
"401","OpenPeering","195.149.232.0/22, 2001:7f8:27::/48",
"401","quarantine","195.149.232.0/22",
"864","TR-IX Denizli","185.1.158.0/24, 2001:7f8:ea::/64",
"46","Unicast Peering","195.140.192.0/24, 2001:7f8:1d:4::/64",
"536","TBD","181.188.0.240/28",
"757","TTPL Peering VLAN","103.129.62.0/26, 2001:dea:4000::/64",
"931","Tucson","2001:504:71::/64, 206.71.14.0/24",
"48","","195.35.65.0/24, 2001:7F8:5D::/116",
